Date,Population_Data,Regression_Data,LSTM_Data
1997-11-01,19.0,,
1997-12-01,24.0,,
1998-01-01,27.0,,
1998-02-01,31.0,,
1998-03-01,35.0,,
1998-04-01,40.0,,
1998-05-01,46.0,,
1998-06-01,49.0,,
1998-07-01,53.0,,
1998-08-01,57.0,,
1998-09-01,65.0,,
1998-10-01,70.0,,
1998-11-01,71.0,,
1998-12-01,77.0,,
1999-01-01,81.0,,
1999-02-01,88.0,,
1999-03-01,87.0,,
1999-04-01,96.0,,
1999-05-01,96.0,,
1999-06-01,103.0,,
1999-07-01,110.0,,
1999-08-01,112.0,,
1999-09-01,116.0,,
1999-10-01,120.0,,
1999-11-01,134.0,,
1999-12-01,134.0,,
2000-01-01,136.0,,
2000-02-01,145.0,,
2000-03-01,154.0,,
2000-04-01,158.0,,
2000-05-01,162.0,,
2000-06-01,167.0,,
2000-07-01,174.0,,
2000-08-01,174.0,,
2000-09-01,180.0,,
2000-10-01,191.0,,
2000-11-01,207.0,,
2000-12-01,210.0,,
2001-01-01,215.0,,
2001-02-01,215.0,,
2001-03-01,219.0,,
2001-04-01,236.0,,
2001-05-01,234.0,,
2001-06-01,245.0,,
2001-07-01,252.0,,
2001-08-01,262.0,,
2001-09-01,267.0,,
2001-10-01,272.0,,
2001-11-01,280.0,,
2001-12-01,278.0,,
2002-01-01,300.0,,
2002-02-01,298.0,,
2002-03-01,305.0,,
2002-04-01,315.0,,
2002-05-01,329.0,,
2002-06-01,330.0,,
2002-07-01,335.0,,
2002-08-01,340.0,,
2002-09-01,357.0,,
2002-10-01,355.0,,
2002-11-01,365.0,,
2002-12-01,376.0,,
2003-01-01,378.0,,
2003-02-01,384.0,,
2003-03-01,397.0,,
2003-04-01,393.0,,
2003-05-01,417.0,,
2003-06-01,418.0,,
2003-07-01,423.0,,
2003-08-01,428.0,,
2003-09-01,443.0,,
2003-10-01,445.0,,
2003-11-01,443.0,,
2003-12-01,462.0,,
2004-01-01,487.0,,
2004-02-01,469.0,,
2004-03-01,481.0,,
2004-04-01,518.0,,
2004-05-01,500.0,,
2004-06-01,539.0,,
2004-07-01,535.0,,
2004-08-01,523.0,,
2004-09-01,554.0,,
2004-10-01,554.0,,
2004-11-01,556.0,,
2004-12-01,562.0,,
2005-01-01,574.0,,
2005-02-01,592.0,,
2005-03-01,592.0,,
2005-04-01,631.0,,
2005-05-01,601.0,,
2005-06-01,621.0,,
2005-07-01,616.0,,
2005-08-01,672.0,,
2005-09-01,664.0,,
2005-10-01,667.0,,
2005-11-01,658.0,,
2005-12-01,687.0,,
2006-01-01,692.0,,
2006-02-01,705.0,,
2006-03-01,710.0,,
2006-04-01,731.0,,
2006-05-01,709.0,,
2006-06-01,732.0,,
2006-07-01,727.0,,
2006-08-01,761.0,,
2006-09-01,761.0,,
2006-10-01,744.0,,
2006-11-01,759.0,,
2006-12-01,791.0,,
2007-01-01,782.0,,
2007-02-01,782.0,,
2007-03-01,798.0,,
2007-04-01,813.0,,
2007-05-01,848.0,,
